idiom	example	meaning	origin	used_at	pronunciation_audio	tags	slugs
under no circumstances	["If%20the%20red%20light%20is%20on%20outside%20the%20studio%2C%20under%20no%20circumstances%20is%20anyone%20to%20go%20in%20there.%20It%20means%20they%27re%20recording%20a%20song.","This%20is%20a%20dangerous%20drug%2C%20so%20under%20no%20circumstances%20is%20it%20to%20be%20left%20anywhere%20in%20the%20hospital%20that%20members%20of%20the%20public%20could%20access."]	["If%20you%20are%20told%20that%20under%20no%20circumstances%20should%20you%20do%20something%2C%20you%20must%20never%20do%20it%2C%20no%20matter%20what%20happens.",""]	NA	NA	NA	U	under no circumstances
under the table	["If%20I%20do%20any%20overtime%2C%20can%20you%20pay%20me%20under%20the%20table%20so%20I%20won%27t%20have%20pay%20tax%20on%20it.","If%20you%20make%20under-the-table%20payments%20to%20customs%20officials%2C%20you%20can%20get%20goods%20through%20the%20port%20without%20having%20them%20inspected."]	["If%20something%20is%20done%20under%20the%20table%2C%20it%27s%20done%20secretly%2C%20usually%20because%20it%27s%20illegal%20or%20unethical.",""]	Probably related to the fact that if a package or an envelope is passed under a table, other people cannot easily see what's going on.	NA	NA	American,Law,Money,U	under the table
Under the weather	["I%27ve%20had%20a%20sore%20throat%20all%20week%2C%20now%20it%27s%20turned%20to%20a%20cold.%20I%27m%20feeling%20right%20under%20the%20weather.","Hiroko%27s%20feeling%20a%20bit%20under%20the%20weather.%20He%20thinks%20he%20might%20have%20the%20flu.","Sorry%2C%20but%20I%20don%27t%20think%20I%27ll%20be%20able%20to%20make%20it%20to%20work%20today.%20I%27m%20feeling%20a%20bit%20under%20the%20weather."]	["Feeling%20ill.","If%20you%20are%20under%20the%20weather%2C%20you%27re%20not%20feeling%20well."]	NA	NA	https://www.phrases.org.uk/idioms/audio/under-the-weather.mp3	medical,weather,Health,Nature,U,Weather	under the weather
under wraps	["The%20organisers%20keep%20the%20name%20of%20the%20winner%20under%20wraps%20until%20it%27s%20announced%20on%20the%20show.","Our%20new%20products%20are%20always%20under%20wraps%20until%20their%20official%20launch%20because%20we%20don%27t%20want%20other%20companies%20seeing%20them%20and%20copying%20them."]	["If%20something%20is%20under%20wraps%2C%20it%27s%20being%20kept%20secret.",""]	NA	NA	NA	U	under wraps
under your own steam	["Don%27t%20worry%20about%20arranging%20transport%20for%20us.%20We%20can%20get%20there%20under%20our%20own%20steam.","Roger%20thinks%20he%20can%20get%20to%20the%20top%20under%20his%20own%20steam%20and%20doesn%27t%20think%20he%20needs%20a%20coach%20to%20help%20him."]	["If%20you%20do%20something%20under%20your%20own%20steam%2C%20you%20do%20it%20without%20anybody%27s%20help.",""]	Probably related to the fact that trains, ships and machines in general used to be powered by steam. Doing something "under your own steam" would have been the equivalent of doing it under your own power.	NA	NA	U	under your own steam
Unlucky in love	["Jane%27s%20so%20unlucky%20in%20love.%20That%27s%20the%20third%20time%20she%27s%20been%20engaged%20only%20to%20have%20it%20broken%20off."]	["Having%20been%20unable%20to%20find%20a%20long-term%20romantic%20partner."]	NA	NA	https://www.phrases.org.uk/idioms/audio/unlucky-in-love.mp3	misfortune,emotion,family	unlucky in love
up-and-coming	["The%20competition%20brings%20together%20many%20of%20the%20up-and-coming%20young%20designers%20in%20the%20world%20of%20fashion.","We%20pay%20high%20salaries%20in%20order%20to%20attract%20the%20best%20up-and-coming%20executives%20from%20the%20top%20universities."]	["If%20someone%27s%20up-and-coming%2C%20they%20show%20signs%20of%20being%20successful%20in%20their%20profession.",""]	NA	NA	NA	U	up-and-coming
Up a blind alley	["We%20couldn%27t%20trace%20their%20fraudulent%20transactions%20-%20the%20evidence%20was%20gone.%20We%20were%20just%20looking%20up%20a%20blind%20alley."]	["On%20a%20fruitless%20course%20of%20action."]	Britain, 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/up-a-blind-alley.mp3	location	up a blind alley
up a gum tree	["The%20company%20is%20up%20a%20gum%20tree%20because%20they%20broke%20some%20laws%20about%20polluting%20the%20environment%2C%20and%20they%27ll%20probably%20get%20closed%20down.","My%20mate%20Bruce%20is%20up%20a%20gum%20tree.%20He%20got%20a%20sheila%20up%20the%20duff%20and%20now%20she%27s%20twisting%20his%20arm%20to%20get%20hitched.%20%28see%20Note%202%20below%29"]	["If%20you%27re%20up%20a%20gum%20tree%2C%20you%27re%20in%20trouble%20or%20have%20a%20serious%20problem.",""]	NA	NA	NA	Australian,Plants,U	up a gum tree
up and running	["We%27ll%20have%20all%20the%20new%20wireless%20links%20up%20and%20running%20within%20a%20couple%20of%20months.","They%27re%20still%20sorting%20out%20the%20final%20details%2C%20but%20their%20new%20medical%20centre%20should%20be%20up%20and%20running%20by%20next%20month."]	["You%20can%20say%20something%20like%20a%20system%20or%20an%20organisation%20is%20up%20and%20running%20if%20it%20has%20started%20to%20operate.",""]	NA	NA	NA	U	up and running
up for grabs	["Do%20you%20remember%20when%20all%20the%20best%20website%20URLs%20were%20still%20up%20for%20grabs%3F%20Anyone%20could%20get%20one%20just%20by%20being%20the%20first%20person%20to%20claim%20it.","There%20are%20some%20great%20prizes%20up%20for%20grabs%20in%20their%20latest%20competition."]	["If%20something%20is%20up%20for%20grabs%2C%20it%27s%20available%20for%20anyone%20who%20wants%20to%20try%20to%20get%20it.",""]	Possibly related to the idea of someone throwing a lot of banknotes into the air, and many people reaching up trying to grab them. As such, the banknotes are "up for grabs".	NA	NA	U	up for grabs
up in arms	["The%20taxi%20drivers%20are%20up%20in%20arms%20about%20the%20new%20tax%20on%20LPG.","Many%20people%20expected%20smokers%20to%20be%20up%20in%20arms%20over%20the%20smoking%20ban%2C%20but%20most%20of%20them%20seem%20to%20have%20accepted%20it."]	["If%20you%20are%20up%20in%20arms%2C%20you%20are%20angry%20about%20something%20that%20you%20think%20is%20unfair%20or%20wrong.",""]	NA	NA	NA	Body,U	up in arms
up in the air	["The%20meeting%20will%20definitely%20take%20place%2C%20but%20details%20such%20as%20the%20venue%20and%20the%20date%20are%20still%20up%20in%20the%20air.","The%20selection%20of%20players%20for%20the%20tour%20has%20been%20left%20up%20in%20the%20air%20until%20we%20get%20the%20results%20of%20their%20medical%20tests."]	["If%20something%20such%20as%20a%20plan%20to%20do%20something%2C%20or%20details%20of%20an%20agreement%2C%20are%20up%20in%20the%20air%2C%20they%20still%20haven%27t%20been%20decided%20or%20settled%20yet.",""]	NA	NA	NA	U	up in the air
Up shit creek without a paddle	["We%20were%20halfway%20across%20the%20Australian%20outback%20when%20we%20realised%20our%20water%20bottle%20had%20leaked.%20We%20really%20were%20up%20shit%20creek."]	["In%20serious%20difficulty%2C%20with%20no%20hope%20of%20respite."]	USA, 1890s. Note: Shit creek isn't a real place.	Worldwide.	https://www.phrases.org.uk/idioms/audio/up-shit-creek-without-a-paddle.mp3	nature,misfortune,slang,america	up shit creek without a paddle
up to no good	["I%20can%20always%20tell%20when%20young%20Bobby%20is%20up%20to%20no%20good.%20He%20can%27t%20look%20me%20in%20the%20eye.","Jenny%20found%20some%20text%20messages%20in%20her%20husband%27s%20phone%20that%20made%20her%20suspect%20he%20was%20up%20to%20no%20good."]	["If%20someone%20is%20up%20to%20no%20good%2C%20they%20are%20doing%20something%20bad%2C%20or%20something%20wrong.",""]	NA	NA	NA	U	up to no good
up to scratch | up to snuff	["This%20article%20isn%27t%20very%20interesting%2C%20to%20be%20honest.%20Are%20you%20sure%20it%27s%20up%20to%20scratch%20for%20an%20international%20news%20magazine%3F","The%20band%27s%20manager%20doesn%27t%20think%20this%20hall%20is%20up%20to%20snuff.%20There%27s%20too%20much%20echo%20and%20the%20stage%20is%20too%20small."]	["You%20can%20say%20something%20is%20up%20to%20scratch%2C%20or%20up%20to%20snuff%2C%20if%20it%27s%20as%20good%20as%20it%20should%20be%2C%20or%20as%20good%20as%20it%20needs%20to%20be.",""]	NA	NA	NA	U	up to scratch,up to snuff
up to your neck | up to your eyeballs	["I%27m%20up%20to%20my%20neck%20in%20emails%20and%20I%20don%27t%20think%20I%20can%20get%20away%20at%20the%20moment.","Christmas%20is%20the%20worst%20time%20at%20the%20animal%20shelter.%20We%27re%20always%20up%20to%20our%20eyeballs%20in%20stray%20dogs%20and%20cats."]	["If%20you%27re%20up%20to%20your%20neck%20in%20something%2C%20or%20up%20to%20your%20eyeballs%20in%20something%2C%20you%27ve%20got%20too%20much%20of%20it%20and%20it%27s%20become%20a%20problem.",""]	NA	NA	NA	Body,U	up to your neck,up to your eyeballs
Ups a daisy	["Ooh%2C%20Tommy%20the%20toddler%2C%20fallen%20over%20again%20have%20you%3F%20Never%20mind%20-%20ups%20a%20daisy%20and%20let%27s%20try%20again."]	["A%20saying%2C%20usually%20to%20a%20child%2C%20after%20a%20stumble%20or%20fall%2C%20to%20encourage%20them%20to%20get%20up.%20%28ups%20is%20a%20variant%20of%20whoops%29."]	America, 20th century. The expression sounds old and English, but it isn't.	Worldwide, but considered dated and coy by many.	https://www.phrases.org.uk/idioms/audio/ups-a-daisy.mp3	childhood,misfortune	ups a daisy
upset the applecart	["The%20Stones%20upset%20the%20applecart%20by%20pulling%20out%20of%20the%20music%20festival.%20They%20were%20going%20to%20be%20the%20main%20act.","Kelly%27s%20sister%20really%20upset%20the%20applecart%20when%20she%20told%20Kelly%20that%20she%27d%20seen%20her%20husband%20waiting%20for%20someone%20in%20a%20hotel%20lobby%20when%20he%20was%20supposed%20to%20be%20in%20New%20York."]	["If%20you%20upset%20the%20applecart%2C%20you%20do%20something%20that%20causes%20trouble%20or%20upsets%20someone%27s%20plans.",""]	NA	NA	NA	Food,Transport,U	upset the applecart
Us versus them	["There%27s%20no%20way%20we%20will%20be%20negotiating%20over%20this%20deal.%20Its%20us%20versus%20them%20and%20let%20the%20best%20will."]	["Denoting%20the%20enmity%20between%20two%20opposing%20groups."]	NA	Worldwide.	https://www.phrases.org.uk/idioms/audio/us-versus-them.mp3	conflict	us versus them
Use your loaf	["Sending%20money%20to%20that%20Nigerian%20email%20scam.%20Use%20your%20loaf%2C%20mate%20-%20wasn%27t%20it%20obvious%20it%20was%20a%20con%3F"]	["Think%20smart."]	Britain, mid-20th century.	Worldwide, but most commonly in Britain.	https://www.phrases.org.uk/idioms/audio/use-your-loaf.mp3	food,the_human_body,cockney_rhyming_slang	use your loaf
user-friendly	["When%20designing%20a%20website%2C%20it%27s%20important%20to%20make%20it%20user-friendly%20or%20people%20will%20go%20somewhere%20else.","It%20took%20Les%20ages%20to%20work%20out%20how%20to%20use%20his%20new%20printer.%20He%20says%20it%27s%20the%20least%20user-friendly%20one%20he%27s%20had."]	["When%20we%20say%20something%20is%20user-friendly%2C%20we%20mean%20it%20is%20easy%20to%20use.",""]	NA	NA	NA	U	user-friendly
Van Gogh's ear for music	["I%27d%20love%20to%20join%20the%20choir%20but%20my%20audition%20was%20a%20disaster.%20The%20conductor%20said%20I%20had%20Van%20Gogh%27s%20ear%20for%20music."]	["Tone%20deaf."]	An ironic joke alluding to Van Gogh's celebrated loss of his ear, coined in Britain in the late 20th century. The source idiom 'ear for music' has been used in Britain since the 18th century.	Mostly Britain and not a common idiom.	https://www.phrases.org.uk/idioms/audio/van-goghs-ear-for-music.mp3	the_human_body,name,music,hyperbole	van gogh's ear for music
vanish into thin air	["The%20singer%20of%20The%20Manic%20Street%20Preachers%20vanished%20into%20thin%20air%20one%20day%20and%20he%27s%20never%20been%20seen%20again.","My%20car%20keys%20must%20be%20here%20somewhere.%20They%20can%27t%20just%20vanish%20into%20thin%20air."]	["If%20something%20vanishes%20into%20thin%20air%2C%20it%20disappears%20completely.",""]	NA	NA	NA	V	vanish into thin air
Variety is the spice of life	["Surfing%20today%2C%20bungie-jumping%20tomorrow.%20You%20know%20what%20they%20say%20-%20variety%20is%20the%20spice%20of%20life."]	["Increased%20experience%20makes%20for%20a%20more%20exciting%20life."]	Britain, 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/variety-is-the-spice-of-life.mp3	excess,adage	variety is the spice of life
Vatican roulette	["It%27s%20a%20real%20dilemma%20for%20my%20wife%20and%20me.%20I%20know%20Bridget%20is%20a%20Catholic%20and%20that%20condoms%20aren%27t%20allowed%2C%20but%20I%20don%27t%20want%20kids%20yet%20and%20Vatican%20roulette%20is%20just%20too%20risky%20for%20me."]	["The%20rhythm%20method%20of%20birth%20control."]	Britain, 1960s	Worldwide.	https://www.phrases.org.uk/idioms/audio/vatican-roulette.mp3	sex,religion,risk	vatican roulette
vent your spleen	["The%20company%27s%20shareholders%20were%20angry%2C%20and%20they%20used%20the%20annual%20general%20meeting%20as%20an%20opportunity%20to%20vent%20their%20spleen%20on%20the%20board%20members.","Amy%20felt%20she%20had%20been%20badly%20treated%20by%20the%20media%2C%20so%20she%20took%20the%20chance%20to%20vent%20her%20spleen%20during%20the%20interview."]	["If%20you%20vent%20your%20spleen%2C%20you%20express%20your%20anger.",""]	The spleen is an organ in the body near the stomach. In European medicine from the Middle Ages until the nineteenth century, the spleen was  thought to be the source of the "humours" that caused the emotion of anger. Therefore one could expel anger by "venting the spleen".	NA	NA	Body,V	vent your spleen
verbal diarrhoea	["Janice%20has%20a%20real%20bad%20case%20of%20verbal%20diarrhoea.%20It%27s%20like%20she%27s%20afraid%20of%20silence%20and%20has%20to%20keep%20talking%20to%20block%20it%20out.","I%20don%27t%20know%20if%20you%20could%20say%20he%27s%20got%20verbal%20diarrhoea%2C%20but%20Alan%20sure%20does%20talk%20a%20lot."]	["If%20someone%20has%20verbal%20diarrhoea%2C%20they%20can%27t%20stop%20talking.",""]	This humorous idiom includes the medical word diarrhoea, meaning an illness in which the body's solid waste is more liquid than usual and during which the sufferer has to go to the toilet more often than usual, to create the image of a person with a similar problem with the spoken word.	NA	NA	Health,V	verbal diarrhoea
very well	["Frank%3A%20%22Could%20you%20come%20to%20the%20dentist%20with%20me%3F%22%20Earnest%3A%20%22Oh%2C%20very%20well.%20If%20you%20really%20want%20me%20to%20go%20with%20you%2C%20I%27ll%20go.%22","After%20I%27d%20asked%20my%20sister%20to%20help%20out%2C%20she%20said%2C%20%22Very%20well%2C%20I%27ll%20cook%20for%20your%20dinner%20party%2C%20but%20you%27ll%20owe%20me%20one%20after%20this.%22"]	["You%20can%20say%20%22very%20well%22%20when%20you%20agree%20to%20do%20something.",""]	NA	NA	NA	V	very well
vice versa	["He%20doesn%27t%20believe%20anything%20she%20says%2C%20and%20vice%20versa.%20They%20really%20don%27t%20trust%20each%20other.","During%20the%20cold%20war%2C%20the%20Americans%20tried%20to%20spy%20on%20the%20Russians%2C%20and%20vice%20versa."]	["You%20can%20say%20%22vice%20versa%22%20when%20what%20you%20have%20just%20said%20is%20also%20true%20in%20the%20opposite%2C%20or%20reverse%2C%20order.",""]	From Latin, meaning "the other way round" or "the position being reversed".	NA	NA	V	vice versa
vim and vigor	["Our%20grandmother%20is%20always%20full%20of%20vim%20and%20vigor%20when%20we%20go%20to%20visit%20her.","If%20you%20want%20to%20have%20lots%20of%20vim%20and%20vigor%20when%20you%20get%20older%2C%20you%20need%20to%20eat%20good%20food%20and%20get%20plenty%20of%20exercise%20when%20you%27re%20young."]	["If%20you%20have%20vim%20and%20vigor%2C%20you%20have%20lots%20of%20energy%20and%20enthusiasm%20for%20life.",""]	NA	NA	NA	Health,V	vim and vigor
virgin territory	["The%20internet%20was%20still%20virgin%20territory%20when%20we%20made%20our%20first%20websites.","Our%20company%20has%20designed%20many%20products%20for%20other%20companies%2C%20but%20producing%20them%20and%20marketing%20them%20ourselves%20is%20virgin%20territory%20for%20us."]	["You%20can%20say%20something%20is%20virgin%20territory%20if%20it%27s%20never%20been%20explored%20before%20or%20never%20been%20done%20before.",""]	NA	NA	NA	Nature,V	virgin territory
vis-a-vis	["Did%20you%20get%20my%20memo%20on%20the%20new%20laws%20vis-a-vis%20gay%20marriage%3F","Here%27s%20the%20data%20I%20was%20telling%20you%20about%20vis-a-vis%20our%20customers%27%20age%20groups%20and%20income%20brackets."]	["You%20can%20say%20vis-a-vis%20instead%20of%20saying%20%22in%20relation%20to%22.",""]	Borrowed from the French language. A literal translation of "vis-a-vis" would be "face to face", which has a very different meaning in English. (For more on "face to face", see its listing.)	NA	NA	V	vis-a-vis
vote with your feet	["When%20the%20price%20of%20concert%20tickets%20nearly%20doubled%2C%20music%20fans%20voted%20with%20their%20feet%20and%20didn%27t%20go%20to%20the%20concerts.","Opponents%20of%20the%20fur%20trade%20are%20trying%20to%20get%20people%20to%20vote%20with%20their%20feet%20by%20refusing%20to%20buy%20from%20shops%20that%20sell%20any%20clothes%20that%20use%20fur."]	["If%20you%20vote%20with%20your%20feet%2C%20you%20show%20your%20opinion%20of%20something%20by%20acting%20in%20a%20certain%20way%2C%20such%20as%20by%20buying%20something%20if%20you%20like%20it%2C%20or%20by%20not%20buying%20it%20if%20you%20don%27t%20like%	NA	NA	NA	Body,V	vote with your feet
waiting in the wings	["In%20politics%2C%20there%20are%20always%20plenty%20of%20people%20waiting%20in%20the%20wings%20ready%20for%20a%20chance%20to%20take%20power.","Everybody%20knows%20that%20the%20chairman%27s%20son%20is%20waiting%20in%20the%20wings%20and%20will%20take%20over%20as%20soon%20as%20his%20father%20retires."]	["If%20you%27re%20waiting%20in%20the%20wings%2C%20you%27re%20ready%20to%20take%20over%20a%20role%20or%20a%20position%20when%20you%20have%20the%20chance%20to%20do%20so.",""]	Metaphorical and related to the fact that stage actors wait in the wings at the side of the stage until it's time for them to play their part in the drama.	NA	NA	Buildings,W	waiting in the wings
Wardrobe malfunction	["Her%20top%20slipped%20down%20in%20front%20of%20the%20boys.%20She%20said%20it%20was%20a%20wardrobe%20malfunction%20but%20I%20think%20it%20was%20deliberate."]	["Referring%20to%20an%20item%20of%20clothing%20slipping%20out%20of%20place%20to%20expose%20part%20of%20the%20body."]	USA. First said by Justin Timberlake to explain the inadvertent exposure of Janet Jackson's breast during the half-time show at the 2004 Super Bowl.	Worldwide.	https://www.phrases.org.uk/idioms/audio/wardrobe-malfunction.mp3	clothes,household_items,slang,america	wardrobe malfunction
warts and all	["Are%20you%20sure%20you%20want%20to%20read%20the%20first%20draft%3F%20You%27ll%20see%20it%20warts%20and%20all%2C%20with%20all%20the%20mistakes%20and%20all%20the%20bad%20writing%20still%20there.","People%20don%27t%20want%20to%20see%20an%20idealised%20version%20of%20his%20life.%20They%20want%20to%20know%20the%20real%20story%2C%20warts%20and%20all."]	["If%20you%20show%20something%20warts%20and%20all%2C%20you%20show%20it%20exactly%20as%20it%20is%20without%20trying%20to%20hide%20any%20of%20its%20faults%20or%20weaknesses.",""]	NA	NA	NA	Body,Health,W	warts and all
wash your hands of something	["She%20washed%20her%20hands%20of%20the%20whole%20project%20after%20she%20found%20out%20that%20people%20had%20been%20stealing%20donated%20money.","Jim%20washed%20his%20hands%20of%20politics%20long%20ago%20after%20realising%20how%20corrupt%20most%20politicians%20were."]	["If%20you%20wash%20your%20hands%20of%20something%20that%20you%20were%20involved%20in%2C%20you%20decide%20to%20stop%20being%20involved%20in%20it%20after%20losing%20your%20interest%20or%20belief%20in%20it.",""]	NA	NA	NA	Body,W	wash your hands of something
Washed up	["%20Come%20and%20see%2C%20there%27s%20a%20shark%20washed%20up%20on%20the%20beach.%20","%20She%20used%20to%20be%20a%20great%20actress%20until%20she%20started%20on%20the%20booze.%20Now%20no%20one%20will%20hire%20her%20-%20she%27s%20all%20washed%20up."]	["%20Deposited%20on%20a%20beach%20by%20the%20tide.%20","%20Finished%20and%20failed%2C%20with%20no%20further%20chance%20of%20success."]	1. Britain, 17th century. 2. USA, 1920s.	1. Worldwide. 2. Mostly USA.	NA	america	washed up
waste your breath	["You%27re%20just%20wasting%20your%20breath.%20He%20won%27t%20listen%20to%20anyone.","You%20might%20feel%20that%20you%27re%20wasting%20your%20breath%2C%20but%20if%20just%20one%20kid%20avoids%20a%20drug%20problem%20because%20of%20what%20you%20say%2C%20it%27ll%20be%20worth%20it."]	["You%27re%20wasting%20your%20breath%20if%20you%27re%20speaking%20but%20what%20you%27re%20saying%20is%20being%20ignored%20or%20having%20no%20effect.",""]	NA	NA	NA	W	waste your breath
Water under the bridge	["Losing%20my%20wife%20and%20my%20job%20was%20difficult%20at%20the%20time%20but%20I%27ve%20moved%20on.%20Its%20all%20water%20under%20the%20bridge%20now."]	["A%20past%20experience%20that%20you%20prefer%20not%20to%20affect%20your%20current%20life."]	NA	Worldwide.	https://www.phrases.org.uk/idioms/audio/water-under-the-bridge.mp3	nature,emotion	water under the bridge
water under the bridge | water over the dam	["I%20wish%20people%20would%20stop%20talking%20about%20my%20problems%20with%20the%20law.%20It%20all%20happened%20a%20long%20time%20ago%20and%20it%27s%20water%20under%20the%20bridge%20as%20far%20as%20I%27m%20concerned.","Rhonda%20says%20her%20marriage%20to%20Mark%20is%20water%20over%20the%20dam%20and%20it%27s%20time%20to%20move%20on%20with%20her%20life."]	["You%20can%20say%20a%20problem%20or%20an%20experience%20is%20water%20under%20the%20bridge%2C%20or%20water%20over%20the%20dam%2C%20if%20it%20happened%20in%20the%20past%20and%20it%20no%20longer%20affects%20the%20present%20to%20a%20degree%20that%20is%20wo	NA	NA	NA	Structures,W	water under the bridge,water over the dam
weak at the knees	["When%20he%20looked%20at%20me%20and%20smiled%2C%20I%20felt%20weak%20at%20the%20knees.%20He%20was%20the%20most%20beautiful%20man%20I%27d%20ever%20seen%21","Just%20thinking%20about%20getting%20up%20in%20front%20of%20a%20thousand%20people%20makes%20me%20weak%20at%20the%20knees.%20It%27s%20terrifying%21"]	["If%20you%20go%20weak%20at%20the%20knees%2C%20you%20feel%20an%20emotion%20so%20strongly%20that%20it%20makes%20you%20feel%20unstable%20on%20your%20feet.",""]	NA	NA	NA	Body,Health,W	weak at the knees
Wear your heart on your sleeve	["He%20went%20on%20his%20knees%20in%20the%20town%20square%20and%20sang%20her%20a%20love%20song.%20You%20can%27t%20say%20that%20he%20doesn%27t%20wear%20his%20heart%20on%20his%20sleeve.","Ivan%20is%20one%20of%20those%20tennis%20players%20that%20spectators%20love%20to%20watch%20because%20they%20always%20wear%20their%20heart%20on%20their%20sleeve.","You%27ll%20never%20be%20a%20good%20card%20player%20if%20you%20wear%20your%20heart%20on%20your%20sleeve.%20Other%20players%20can%20tell%20if%20your%20cards%20are%20good%20or%20not%20by%20watching%20your%20reactions%20when%20you%20get%20them."]	["Openly%20express%20your%20emotions.","If%20you%20wear%20your%20heart%20on%20your%20sleeve%2C%20you%20show%20your%20emotions%20openly%20and%20you%20don%27t%20try%20to%20hide%20your%20feelings."]	This idiom first appeared, as far as we know, in a play called Othello, written in 1604 by the English playwright William Shakespeare. In this scene, cunning Iago decides to act as if he's "wearing his heart on his sleeve" in order to seem open, honest and faithful:  For when my outward action doth demonstrate |  The native act and figure of my heart |  In complim	Worldwide, although somewhat old-fashioned.	https://www.phrases.org.uk/idioms/audio/wear-your-heart-on-your-sleeve.mp3	clothes,the_human_body,Body,Clothing,W	wear your heart on your sleeve
weather a storm	["Everyone%20waited%20to%20see%20if%20the%20president%20could%20weather%20the%20storm%20caused%20by%20his%20son%27s%20arrest%20for%20using%20illegal%20drugs.","Poor%20Mandy%20had%20to%20stand%20there%20and%20weather%20the%20storm%20as%20her%20boss%20shouted%20insults%20at%20her%20for%20letting%20him%20forget%20something."]	["If%20you%20weather%20a%20storm%2C%20you%20survive%20a%20dangerous%20event%20or%20deal%20with%20a%20difficult%20situation.",""]	NA	NA	NA	Nature,W,Weather	weather a storm
Well hung	["The%20legend%20is%20that%20Errol%20Flynn%20was%20well%20hung%2C%20but%20it%27s%20probably%20a%20myth."]	["Said%20of%20a%20man%20with%20large%20genitals."]	The idiom might be thought to be fairly modern but, in fact, its first use was in Britain in the 17th century. Before being applied to humans the expression was used to refer to dogs that had large ears.	Worldwide.	https://www.phrases.org.uk/idioms/audio/well-hung.mp3	sex,the_human_body	well hung
Wet behind the ears	["That%20Justin%20Bieber%3B%20he%20thinks%20he%27s%20all%20grown%20up%20but%20he%27s%20really%20pretty%20wet%20behind%20the%20ears.","He%27s%20just%20finished%20high%20school%2C%20so%20he%27s%20still%20wet%20behind%20the%20ears.","Joni%27s%20still%20wet%20behind%20the%20ears%20and%20doesn%27t%20know%20how%20to%20deal%20with%20the%20other%20girls%20who%20tease%20her%2C%20but%20she%27ll%20soon%20learn."]	["Young%20and%20naive%2C%20like%20a%20new-born%20baby.","If%20someone%20is%20wet%20behind%20the%20ears%2C%20they%20don%27t%20have%20much%20experience%20of%20life."]	Britain, 1910s Probably a reference to the inexperience of a baby so young as to still be wet from the birth.	Worldwide.	https://www.phrases.org.uk/idioms/audio/wet-behind-the-ears.mp3	childhood,the_human_body,Body,W	wet behind the ears
wheeling and dealing	["You%27ll%20need%20to%20be%20good%20at%20wheeling%20and%20dealing%20if%20you%20want%20to%20do%20well%20in%20politics.","The%20amount%20of%20wheeling%20and%20dealing%20that%27s%20needed%20to%20sort%20out%20a%20contract%20with%20the%20local%20government%20is%20incredible."]	["If%20you%27re%20wheeling%20and%20dealing%2C%20you%27re%20involved%20in%20the%20complex%20world%20of%20making%20deals%20and%20exchanging%20favours%20in%20business%20or%20politics%2C%20or%20both.",""]	NA	NA	NA	Money,W	wheeling and dealing
Where there's muck there's brass	["Stuff%20was%20coming%20in%20and%20out%20of%20the%20factory%20yard%20every%20five%20minutes%20and%20debris%20was%20piled%20everywhere.%20Business%20was%20brisk%20though%20-%20where%20there%27s%20muck%20there%27s%20brass%20you%20know."]	["Dirt%20and%20muddle%20are%20evidence%20of%20products%20being%20manufactured%20and%20money%20%28brass%29%20being%20made."]	Britain - especially Yorkshire.	England, most commonly in the north of England.	https://www.phrases.org.uk/idioms/audio/where-theres-muck-theres-brass.mp3	money	where there's muck there's brass
whet your appetite	["My%20wife%20has%20been%20listening%20to%20reggae%20music%20all%20day.%20She%20heard%20a%20song%20by%20Bob%20Marley%20on%20the%20radio%20this%20morning%2C%20and%20it%20really%20whetted%20her%20appetite%20for%20reggae.","Those%20ads%20on%20TV%20really%20whet%20my%20appetite%20for%20pizza.%20I%20even%20ordered%20one%20once%2C%20just%20because%20of%20the%20ad.%20And%20I%20wasn%27t%20even%20hungry%21"]	["If%20something%20whets%20your%20appetite%2C%20it%20makes%20you%20want%20something%2C%20or%20it%20stimulates%20your%20desire%20for%20something.",""]	NA	NA	NA	Food,W	whet your appetite
Whipper snapper	["The%20fourth%20form%20have%20challenged%20the%20teachers%20to%20a%20tug%20of%20war.%20We%20can%27t%20lose%20against%20a%20bunch%20of%20kids%20-%20let%27s%20show%20those%20whipper%20snappers%20how%20it%27s%20done."]	["A%20child%20or%20impertinent%20youth."]	Britain.	Widely used but a little old fashioned.	https://www.phrases.org.uk/idioms/audio/whipper-snapper.mp3	childhood,reduplication	whipper snapper
Whistle and flute	["That%20important%20interview%20is%20coming%20up%20next%20week.%20I%20think%20I%20ought%20to%20get%20a%20new%20whistle."]	["Cockney%20rhyming%20slang%20for%20suit."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/whistle-and-flute.mp3	clothes,cockney_rhyming_slang	whistle and flute
White elephant	["The%20Empire%20State%20Building%20was%20a%20remarkable%20achievement%20but%2C%20for%20years%20after%20it%20was%20built%2C%20it%20had%20few%20tenants%20and%20was%20really%20a%20white%20elephant%20for%20its%20developers."]	["An%20object%20that%20appears%20magnificent%20but%20which%20is%20a%20burdensome%20financial%20liability."]	Britain, late 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/white-elephant.mp3	colour,animals	white elephant
